iter	RMSE
0	3.335135003e-16
1	3.098187084e-16
2	2.856594154e-16
3	2.619290585e-16
4	2.402421227e-16
5	2.199420321e-16
6	2.023963005e-16
7	1.867525577e-16
8	1.713495551e-16
9	1.594337909e-16
10	1.474476921e-16
11	1.370276477e-16
12	1.270614161e-16
13	1.175975247e-16
14	1.094515683e-16
15	1.02222886e-16
16	9.561513833e-17
17	8.925995084e-17
18	8.341018197e-17
19	7.8904469e-17
20	7.437423885e-17
21	7.041866339e-17
22	6.67630012e-17
23	6.376054098e-17
24	6.114465903e-17
25	5.858597908e-17
26	5.626973468e-17
27	5.417938153e-17
28	5.250991044e-17
29	5.098644989e-17
30	4.966821939e-17
31	4.822418087e-17
32	4.72345532e-17
33	4.604507303e-17
34	4.501045083e-17
35	4.422565315e-17
36	4.33289976e-17
37	4.235000784e-17
38	4.178375901e-17
39	4.118086556e-17
40	4.051297707e-17
41	3.990812703e-17
42	3.944461244e-17
43	3.902288555e-17
44	3.85496017e-17
45	3.812027085e-17
46	3.750081376e-17
47	3.692826784e-17
48	3.666360652e-17
49	3.63543857e-17
50	3.603828798e-17
51	3.577983548e-17
52	3.545518168e-17
53	3.493009415e-17
54	3.474353956e-17
55	3.428080296e-17
56	3.412169399e-17
57	3.372334004e-17
58	3.355729393e-17
59	3.336586508e-17
60	3.308614229e-17
61	3.296058248e-17
62	3.282055362e-17
63	3.263390575e-17
64	3.224169645e-17
65	3.191253894e-17
66	3.172443482e-17
67	3.138503472e-17
68	3.124684797e-17
69	3.115943496e-17
70	3.095137506e-17
71	3.065842124e-17
72	3.047454192e-17
73	3.003199208e-17
74	2.954836726e-17
75	2.928007449e-17
76	2.884398865e-17
77	2.857581232e-17
78	2.830049331e-17
79	2.81888331e-17
80	2.798354695e-17
81	2.747415354e-17
82	2.709975815e-17
83	2.667782402e-17
84	2.643655953e-17
85	2.618224725e-17
86	2.609734066e-17
87	2.562485664e-17
88	2.545386539e-17
89	2.540662457e-17
90	2.509435065e-17
91	2.49839763e-17
92	2.478041803e-17
93	2.462323313e-17
94	2.446546656e-17
95	2.437351898e-17
96	2.395928661e-17
97	2.366317032e-17
98	2.32721216e-17
99	2.320384031e-17
100	2.300894932e-17
101	2.291818708e-17
102	2.282536493e-17
103	2.250256259e-17
104	2.229192097e-17
105	2.209802671e-17
106	2.204912615e-17
107	2.168518721e-17
108	2.135394738e-17
109	2.128001908e-17
110	2.118466691e-17
111	2.095174864e-17
112	2.062588582e-17
113	2.057477669e-17
114	2.030156043e-17
115	2.009275633e-17
116	1.995608882e-17
117	1.97780679e-17
118	1.969966029e-17
119	1.948952304e-17
120	1.932919191e-17
121	1.914562647e-17
122	1.898563025e-17
123	1.888256362e-17
124	1.86278338e-17
125	1.841643339e-17
126	1.819546178e-17
127	1.793397271e-17
128	1.783248833e-17
129	1.766426543e-17
130	1.754937293e-17
131	1.747528611e-17
132	1.741823299e-17
133	1.730342402e-17
134	1.725209681e-17
135	1.703609697e-17
136	1.6815919e-17
137	1.658450784e-17
138	1.638832531e-17
139	1.632916012e-17
140	1.622282655e-17
141	1.617448752e-17
142	1.599744149e-17
143	1.597479204e-17
144	1.575029191e-17
145	1.567785941e-17
146	1.549699904e-17
147	1.534596848e-17
148	1.517372135e-17
149	1.500549748e-17
150	1.484473776e-17
151	1.468723254e-17
152	1.459580211e-17
153	1.451767606e-17
154	1.442246486e-17
155	1.426903845e-17
156	1.409804439e-17
157	1.395426233e-17
158	1.386918921e-17
159	1.384314459e-17
160	1.381824008e-17
161	1.365049484e-17
162	1.351204868e-17
163	1.336822018e-17
164	1.31918449e-17
165	1.301579828e-17
166	1.290945215e-17
167	1.280092759e-17
168	1.26979438e-17
169	1.260018016e-17
170	1.247242942e-17
171	1.236791696e-17
172	1.230166775e-17
173	1.214914209e-17
174	1.206272192e-17
175	1.192040832e-17
176	1.188479463e-17
177	1.178805214e-17
178	1.160200278e-17
179	1.154989534e-17
180	1.146077268e-17
181	1.143789399e-17
182	1.138877871e-17
