iter	Passed	Remaining
0	14	145932
1	27	137985
2	39	131202
3	52	130177
4	64	128217
5	76	127734
6	89	127771
7	101	126741
8	113	125616
9	126	126143
10	138	125931
11	150	125140
12	162	124563
13	174	124611
14	186	124299
15	198	123957
16	210	123635
17	223	123716
18	234	123441
19	246	123080
20	261	124279
21	276	125240
22	289	125655
23	303	126057
24	317	126494
25	330	126940
26	345	127469
27	358	127652
28	371	127817
29	386	128451
30	405	130302
31	420	131072
32	435	131528
33	447	131074
34	459	130780
35	472	130726
36	484	130577
37	497	130365
38	509	130188
39	529	131962
40	542	131793
41	556	131965
42	570	132066
43	582	131830
44	595	131813
45	609	131872
46	622	131781
47	635	131795
48	648	131788
49	661	131667
50	674	131556
51	687	131568
52	699	131287
53	710	130931
54	724	130950
55	737	130921
56	749	130827
57	763	130798
58	775	130602
59	787	130437
60	799	130305
61	811	130139
62	823	129915
63	835	129722
64	848	129655
65	859	129393
66	871	129137
67	883	129019
68	895	128929
69	908	128843
70	922	128961
71	936	129099
72	949	129139
73	967	129739
74	983	130199
75	998	130358
76	1012	130422
77	1025	130416
78	1038	130477
79	1055	130840
80	1070	131103
81	1083	131047
82	1096	130967
83	1108	130875
84	1121	130766
85	1133	130713
86	1146	130592
87	1158	130499
88	1169	130281
89	1182	130247
90	1196	130268
91	1209	130285
92	1223	130315
93	1236	130265
94	1250	130358
95	1265	130527
96	1279	130628
97	1295	130878
98	1308	130840
99	1322	130957
100	1335	130862
101	1348	130849
102	1361	130801
103	1373	130703
104	1386	130625
105	1399	130607
106	1413	130662
107	1426	130650
108	1439	130584
109	1450	130429
110	1462	130331
111	1475	130247
112	1487	130106
113	1499	129997
114	1517	130399
115	1530	130399
116	1544	130456
117	1558	130494
118	1571	130455
119	1584	130463
120	1598	130529
121	1612	130564
122	1625	130536
123	1638	130465
124	1652	130513
125	1664	130411
126	1676	130358
127	1690	130380
128	1703	130375
129	1716	130316
130	1728	130226
131	1740	130148
132	1753	130118
133	1766	130050
134	1778	129998
135	1791	129969
136	1804	129943
137	1817	129920
138	1829	129819
139	1842	129796
140	1855	129756
141	1868	129691
142	1879	129577
143	1892	129543
144	1906	129556
145	1919	129540
146	1931	129483
147	1944	129441
148	1957	129424
149	1970	129402
150	1983	129355
151	1995	129290
152	2008	129241
153	2021	129215
154	2033	129171
155	2045	129082
156	2058	129037
157	2070	128966
158	2083	128925
159	2094	128838
160	2106	128727
161	2119	128709
162	2131	128607
163	2142	128510
164	2155	128451
165	2166	128367
166	2178	128275
167	2190	128172
168	2202	128137
169	2214	128034
170	2225	127925
171	2237	127854
172	2249	127798
173	2261	127723
174	2273	127650
175	2285	127570
176	2297	127519
177	2309	127435
178	2321	127375
179	2334	127332
180	2345	127260
181	2357	127176
182	2369	127129
183	2381	127052
184	2393	126972
185	2404	126869
186	2416	126830
187	2428	126742
188	2439	126649
189	2451	126571
190	2463	126490
191	2474	126405
192	2486	126343
193	2503	126548
194	2516	126525
195	2529	126506
196	2543	126562
197	2555	126509
198	2568	126501
199	2580	126466
200	2594	126503
201	2608	126527
202	2622	126562
203	2637	126649
204	2659	127060
205	2678	127332
206	2691	127356
207	2707	127456
208	2720	127438
209	2732	127403
210	2745	127389
211	2757	127335
212	2769	127274
213	2782	127227
214	2794	127181
215	2806	127110
216	2817	127032
217	2829	126978
218	2841	126900
219	2856	126983
220	2870	127030
221	2883	127000
222	2894	126923
223	2906	126847
224	2919	126821
225	2931	126759
226	2943	126719
227	2955	126664
228	2967	126621
229	2980	126592
230	2992	126549
231	3003	126473
232	3015	126405
233	3027	126346
234	3039	126305
235	3051	126259
236	3064	126225
237	3076	126197
238	3088	126138
239	3099	126064
240	3112	126029
241	3125	126027
242	3137	125976
243	3148	125906
244	3160	125842
